datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
240588,658,9,15,15-Sep-0658 00:00:00,276.015473088621,273.779035831451,278.251910345791
241075,660,1,15,15-Jan-0660 00:00:00,279.155753625879,279.834973569208,278.47653368255
241561,661,5,15,15-May-0661 00:00:00,280.070221829846,281.577271656523,278.56317200317
242049,662,9,15,15-Sep-0662 00:00:00,276.061080436355,273.824643179185,278.297517693525
242536,664,1,15,15-Jan-0664 00:00:00,279.203177400495,279.882397343824,278.523957457166
243022,665,5,15,15-May-0665 00:00:00,280.108898781381,281.615948608058,278.601848954705
243510,666,9,15,15-Sep-0666 00:00:00,276.100571684112,273.864134426942,278.337008941282
243997,668,1,15,15-Jan-0668 00:00:00,279.250142930323,279.929362873652,278.570922986994
244483,669,5,15,15-May-0669 00:00:00,280.161630883494,281.668680710171,278.654581056818
244971,670,9,15,15-Sep-0670 00:00:00,276.148452572996,273.912015315826,278.384889830166
245458,672,1,15,15-Jan-0672 00:00:00,279.283683199557,279.962903142886,278.604463256228
245944,673,5,15,15-May-0673 00:00:00,280.187556969898,281.694606796575,278.680507143222
246432,674,9,15,15-Sep-0674 00:00:00,276.188302246173,273.951864989003,278.424739503343
246919,676,1,15,15-Jan-0676 00:00:00,279.32386023892,280.003080182249,278.644640295591
247405,677,5,15,15-May-0677 00:00:00,280.228988017001,281.736037843678,278.721938190325
247893,678,9,15,15-Sep-0678 00:00:00,276.219775458118,273.983338200948,278.456212715288
248380,680,1,15,15-Jan-0680 00:00:00,279.354127462299,280.033347405628,278.67490751897
248866,681,5,15,15-May-0681 00:00:00,280.263911169014,281.770960995691,278.756861342338
249354,682,9,15,15-Sep-0682 00:00:00,276.248033521772,274.011596264602,278.484470778942
249841,684,1,15,15-Jan-0684 00:00:00,279.391622080737,280.070842024066,278.712402137408
250327,685,5,15,15-May-0685 00:00:00,280.306978746809,281.814028573486,278.799928920133
250815,686,9,15,15-Sep-0686 00:00:00,276.295421939553,274.058984682383,278.531859196723
251302,688,1,15,15-Jan-0688 00:00:00,279.43154272747,280.110762670799,278.752322784141
251788,689,5,15,15-May-0689 00:00:00,280.349576564592,281.856626391269,278.842526737916
252276,690,9,15,15-Sep-0690 00:00:00,276.341989243853,274.105551986683,278.578426501023
252763,692,1,15,15-Jan-0692 00:00:00,279.487714944452,280.166934887781,278.808495001123
253249,693,5,15,15-May-0693 00:00:00,280.389653886952,281.896703713629,278.882604060276
253737,694,9,15,15-Sep-0694 00:00:00,276.370148040886,274.133710783716,278.606585298056
254224,696,1,15,15-Jan-0696 00:00:00,279.51621837859,280.195438321919,278.836998435261
254710,697,5,15,15-May-0697 00:00:00,280.411907370532,281.918957197209,278.904857543856
255198,698,9,15,15-Sep-0698 00:00:00,276.398590465346,274.162153208176,278.635027722516
255685,700,1,15,15-Jan-0700 00:00:00,279.541120897549,280.220340840878,278.86190095422
256170,701,5,15,15-May-0701 00:00:00,280.454081038379,281.961130865056,278.947031211703
256658,702,9,15,15-Sep-0702 00:00:00,276.440325400083,274.203888142913,278.676762657253
257145,704,1,15,15-Jan-0704 00:00:00,279.583798553729,280.263018497058,278.9045786104
257631,705,5,15,15-May-0705 00:00:00,280.483811865636,281.990861692313,278.97676203896
258119,706,9,15,15-Sep-0706 00:00:00,276.469705261901,274.233268004731,278.706142519071
258606,708,1,15,15-Jan-0708 00:00:00,279.610498649592,280.289718592921,278.931278706263
259092,709,5,15,15-May-0709 00:00:00,280.515004316666,282.022054143343,279.00795448999
259580,710,9,15,15-Sep-0710 00:00:00,276.512507984252,274.276070727082,278.748945241422
260067,712,1,15,15-Jan-0712 00:00:00,279.644803327009,280.324023270338,278.96558338368
260553,713,5,15,15-May-0713 00:00:00,280.554428998555,282.061478825232,279.047379171879
261041,714,9,15,15-Sep-0714 00:00:00,276.540971476009,274.304534218839,278.777408733179
261528,716,1,15,15-Jan-0716 00:00:00,279.680075744814,280.359295688143,279.000855801485
262014,717,5,15,15-May-0717 00:00:00,280.584598792021,282.091648618698,279.077548965345
262502,718,9,15,15-Sep-0718 00:00:00,276.567146287115,274.330709029945,278.803583544285
262989,720,1,15,15-Jan-0720 00:00:00,279.706510327116,280.385730270445,279.027290383787
263475,721,5,15,15-May-0721 00:00:00,280.61055543831,282.117605264987,279.103505611634
263963,722,9,15,15-Sep-0722 00:00:00,276.594650175523,274.358212918353,278.831087432693
264450,724,1,15,15-Jan-0724 00:00:00,279.731657734514,280.410877677843,279.052437791185
264936,725,5,15,15-May-0725 00:00:00,280.63225696076,282.139306787437,279.125207134084
265424,726,9,15,15-Sep-0726 00:00:00,276.614049386939,274.377612129769,278.850486644109
